"Time","Value","Replicate","Model"
1,0.394195648010646,1,"AR2_M4"
2,-0.771856365430719,1,"AR2_M4"
3,-3.0077108100409,1,"AR2_M4"
4,3.28050287675687,1,"AR2_M4"
5,-3.58885959296537,1,"AR2_M4"
6,1.20478941289306,1,"AR2_M4"
7,-1.48516020464218,1,"AR2_M4"
8,1.19380334347175,1,"AR2_M4"
9,-1.57556686004407,1,"AR2_M4"
10,1.0002319297008,1,"AR2_M4"
11,-2.28226630433881,1,"AR2_M4"
12,2.05415327950715,1,"AR2_M4"
13,0.0978198388650251,1,"AR2_M4"
14,0.539548546615645,1,"AR2_M4"
15,-0.313718265444175,1,"AR2_M4"
16,-0.109286878374424,1,"AR2_M4"
17,1.01677745911171,1,"AR2_M4"
18,-2.19038795201262,1,"AR2_M4"
19,3.78196550361336,1,"AR2_M4"
20,-1.90129031853165,1,"AR2_M4"
21,-0.475994420294465,1,"AR2_M4"
22,0.429901523652923,1,"AR2_M4"
23,-0.960261366448732,1,"AR2_M4"
24,1.33459603297788,1,"AR2_M4"
25,-1.19441057540335,1,"AR2_M4"
26,2.15620495991627,1,"AR2_M4"
27,-2.37214918041663,1,"AR2_M4"
28,2.13549916541199,1,"AR2_M4"
29,-4.16027751193839,1,"AR2_M4"
30,4.35291918525686,1,"AR2_M4"
31,-4.62189792136386,1,"AR2_M4"
32,3.56756985269137,1,"AR2_M4"
33,-3.71479236980403,1,"AR2_M4"
34,1.98430969122591,1,"AR2_M4"
35,0.516816715537872,1,"AR2_M4"
36,0.774134624639653,1,"AR2_M4"
37,-2.05729036730223,1,"AR2_M4"
38,0.46417605161426,1,"AR2_M4"
39,0.938476533334598,1,"AR2_M4"
40,-0.571913788301037,1,"AR2_M4"
41,1.9492962051046,1,"AR2_M4"
42,-1.21353669489896,1,"AR2_M4"
43,0.614098114710578,1,"AR2_M4"
44,-2.39168987097612,1,"AR2_M4"
45,2.00624007238016,1,"AR2_M4"
46,0.160387761676787,1,"AR2_M4"
47,-0.829775734807282,1,"AR2_M4"
48,-0.856173335040722,1,"AR2_M4"
49,2.02052978392836,1,"AR2_M4"
50,-0.598755188790948,1,"AR2_M4"
51,2.23384062290578,1,"AR2_M4"
52,-0.828554432547846,1,"AR2_M4"
53,1.37220582416037,1,"AR2_M4"
54,-0.0366009876901195,1,"AR2_M4"
55,-1.18976705882565,1,"AR2_M4"
56,1.49555997436649,1,"AR2_M4"
57,-1.24339773775252,1,"AR2_M4"
58,1.22284815332031,1,"AR2_M4"
59,-0.779618714916283,1,"AR2_M4"
60,1.09688425843525,1,"AR2_M4"
61,-1.11811365965363,1,"AR2_M4"
62,1.75476387955879,1,"AR2_M4"
63,-1.26444532308412,1,"AR2_M4"
64,1.03804096907958,1,"AR2_M4"
65,-2.67165675640251,1,"AR2_M4"
