"Model","H_star","C_star","Emblematic_row"
"AR1_M1",0.121577675549141,0.00125736323682028,100
"AR1_M2",0.00555857865030331,3.13746647964024e-06,30
"AR1_M3",0.31694428169397,0.00796207528350304,69
"AR1_M4",0.00782353128269199,3.89881692421392e-06,57
"AR2_M1",0.197202027290948,0.00342625754966044,76
"AR2_M2",0.490708331170335,0.0199260649645373,92
"AR2_M3",0.147981094332178,0.00185500931565219,95
"AR2_M4",0.20472490790506,0.00358344950571553,45
"ARMA11_M1",0.516624229630899,0.0230141377610828,96
"ARMA11_M2",0.0127390059538021,1.29973193707515e-05,64
"ARMA11_M3",0.395896121086672,0.0136097074060273,73
"ARMA11_M4",0.013643697988808,9.91823195639664e-06,78
"ARMA22_M1",0.330621647558723,0.0092030095760977,60
"ARMA22_M2",0.618255194515458,0.0338647529431334,53
"ARMA22_M3",0.173027834710223,0.0025691503765507,1
"ARMA22_M4",0.252734389512974,0.00525808390149904,97
"MA1_M1",0.163180239253172,0.00263663666905684,77
"MA1_M2",0.00648328932351902,2.55772556868407e-06,27
"MA1_M3",0.0334561090994437,8.35586320041303e-05,84
"MA1_M4",0.00718380486628484,4.29349681785069e-06,59
"MA2_M1",0.0529361756550166,0.000219221166596106,12
"MA2_M2",0.0489355434126628,0.0001896380668415,61
"MA2_M3",0.0504747063582357,0.000242254382641239,53
"MA2_M4",0.0220310997744063,3.75256479929984e-05,99
