"Model","H_star","C_star","Emblematic_row"
"AR1_M1",0.965395986697391,0.00968638777678606,25
"AR1_M2",0.998606710686055,0.000421335694091323,64
"AR1_M3",0.926949130981995,0.0245792901155413,55
"AR1_M4",0.998248765049297,0.000522429360884461,88
"AR2_M1",0.952638863623675,0.0152014351373598,74
"AR2_M2",0.89521130142312,0.0368170297282348,10
"AR2_M3",0.958578389227434,0.0115925615653051,79
"AR2_M4",0.95089231469501,0.0160840271786531,86
"ARMA11_M1",0.854179131119235,0.0376900757645343,53
"ARMA11_M2",0.99630154042886,0.00111272184412522,39
"ARMA11_M3",0.911867368560337,0.0298556430393954,85
"ARMA11_M4",0.996797356445475,0.000978765448598363,4
"ARMA22_M1",0.924761063713317,0.0254126692602974,87
"ARMA22_M2",0.875099141159669,0.044503345578624,62
"ARMA22_M3",0.949766629310624,0.0138261565305912,9
"ARMA22_M4",0.941664393950467,0.0193191206873275,44
"MA1_M1",0.953677930990451,0.0128660917962954,30
"MA1_M2",0.998323178291207,0.000492041673730166,75
"MA1_M3",0.990865234224448,0.00282976846727034,88
"MA1_M4",0.998141412142858,0.000561492240807091,64
"MA2_M1",0.986520457977162,0.00419247667270386,41
"MA2_M2",0.987689770100917,0.00383419715469181,80
"MA2_M3",0.985444823827211,0.00417010623534493,5
"MA2_M4",0.994424042243286,0.00171103919006018,31
