"Model","H_star","C_star","Emblematic_row"
"AR1_M1",0.978277479463393,0.0098156353972389,25
"AR1_M2",0.999138318144416,0.000421559991800377,64
"AR1_M3",0.953339583585475,0.0252790680959513,55
"AR1_M4",0.998916772421639,0.000522778959778863,88
"AR2_M1",0.970163298740357,0.015736822120501,75
"AR2_M2",0.932096236762197,0.0383339830539401,10
"AR2_M3",0.973917780969352,0.0117780684003651,79
"AR2_M4",0.968970673021014,0.0163898165957798,86
"ARMA11_M1",0.903721192737508,0.0398760856866889,53
"ARMA11_M2",0.99771031820672,0.00111429524107717,39
"ARMA11_M3",0.943770279504402,0.0317243741854939,38
"ARMA11_M4",0.998017713807013,0.000979963729886624,4
"ARMA22_M1",0.951894332581685,0.0261582983906306,87
"ARMA22_M2",0.918318354599302,0.0467012675064086,62
"ARMA22_M3",0.96824326647714,0.0140951287915019,9
"ARMA22_M4",0.963031853494292,0.0198391676567149,80
"MA1_M1",0.970767559616516,0.0130966483851841,30
"MA1_M2",0.998962835364273,0.000492356940312861,75
"MA1_M3",0.994330950467743,0.00283966605394816,88
"MA1_M4",0.998850313908555,0.000561891024823155,64
"MA2_M1",0.991618251551484,0.00421414107963002,41
"MA2_M2",0.992349360541999,0.003852285616223,80
"MA2_M3",0.990945037801139,0.00419338148732639,5
"MA2_M4",0.996545070201184,0.00171468870154121,31
