"","ARMA(2,2)","AR(2)","MA(2)","Logistic","Sine","ARMA+Sine(w=0.1)","ARMA+Sine(w=0.2)","ARMA+Sine(w=0.3)","AR2+Logistic(w=0.1)","AR2+Sine(w=0.8)","MA2+Logistic(w=0.2)","MA2+Logistic(w=0.7)","MA2+Sine(w=0.4)","MA2+Sine(w=0.6)","MA2+Sine(w=0.8)"
"ARMA(2,2)",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR(2)",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA(2)",0,0,43,0,0,0,0,0,0,0,0,5,0,2,0
"Logistic",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"Sine",0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
"ARMA+Sine(w=0.1)",0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
"ARMA+Sine(w=0.2)",0,0,0,0,0,0,49,1,0,0,0,0,0,0,0
"ARMA+Sine(w=0.3)",0,0,0,0,0,0,1,49,0,0,0,0,0,0,0
"AR2+Logistic(w=0.1)",0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"AR2+Sine(w=0.8)",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"MA2+Logistic(w=0.2)",0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"MA2+Logistic(w=0.7)",0,0,6,0,0,0,0,0,0,0,0,44,0,0,0
"MA2+Sine(w=0.4)",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"MA2+Sine(w=0.6)",0,0,0,0,0,0,0,0,0,0,0,1,0,48,0
"MA2+Sine(w=0.8)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,50
