"Model","Sensitivity","Specificity","Precision","Recall","F1","Balanced_Accuracy"
"Class: ARMA(2,2)",1,1,1,1,1,1
"Class: AR(2)",1,1,1,1,1,1
"Class: MA(2)",0.86,0.99,0.86,0.86,0.86,0.925
"Class: Logistic",1,1,1,1,1,1
"Class: Sine",1,1,1,1,1,1
"Class: ARMA+Sine(w=0.1)",1,1,1,1,1,1
"Class: ARMA+Sine(w=0.2)",0.98,0.998571428571429,0.98,0.98,0.98,0.989285714285714
"Class: ARMA+Sine(w=0.3)",0.98,0.998571428571429,0.98,0.98,0.98,0.989285714285714
"Class: AR2+Logistic(w=0.1)",1,1,1,1,1,1
"Class: AR2+Sine(w=0.8)",1,1,1,1,1,1
"Class: MA2+Logistic(w=0.2)",1,1,1,1,1,1
"Class: MA2+Logistic(w=0.7)",0.88,0.991428571428571,0.88,0.88,0.88,0.935714285714286
"Class: MA2+Sine(w=0.4)",1,1,1,1,1,1
"Class: MA2+Sine(w=0.6)",0.96,0.998571428571429,0.979591836734694,0.96,0.96969696969697,0.979285714285714
"Class: MA2+Sine(w=0.8)",1,0.998571428571429,0.980392156862745,1,0.99009900990099,0.999285714285714
