,(Intercept),H_Shannon,H_Renyi,H_Tsallis,H_Fisher,C_Shannon,C_Renyi,C_Tsallis,C_Fisher,Disequilibrium
AR(2),152.549332,8.586973314,61.8022363,91.22428553,-51.41512327,156.0519875,165.0502846,140.2301466,-493.3062503,235.5493662
MA(2),-33.19666828,181.4607014,469.0268854,118.4328569,-683.8842416,-392.9071567,-310.7273251,-307.0052467,1488.368438,-202.4882277
Logistic,-315.25708,260.2585671,422.9403095,177.629805,-815.075605,-343.2189358,-206.5934951,-288.5263236,1934.270608,-570.015504
Sine,-2.073337013,81.46155179,304.4886491,124.6713077,-845.0900893,-297.8463877,-148.4002029,-152.3526342,1782.077447,64.30214389
ARMA+Sine(w=0.1),740.6250806,-434.0223821,-410.7244479,-429.1849542,-397.1863174,-2.368618925,-140.7638997,42.11314834,635.2453476,1053.567403
ARMA+Sine(w=0.2),729.7830698,-369.7589517,-698.4618938,-383.533395,42.81068188,441.3348874,144.2191195,373.3352268,-333.747405,842.4664276
ARMA+Sine(w=0.3),468.5274203,-70.7278004,-724.7277477,36.1083932,-81.74117623,828.1916434,554.1458843,717.9491353,-430.4627383,475.8760349
AR2+Logistic(w=0.1),-35.17900403,-182.9203079,-135.1478773,-110.2638529,-102.6633585,120.2076069,75.34633158,140.6916981,370.7372084,218.6966753
AR2+Sine(w=0.8),-50.96377682,234.9532301,256.4885702,-42.40840143,170.0576577,-776.6064937,-646.004095,-694.7737956,-627.4615033,-595.7679949
MA2+Logistic(w=0.2),-263.3453564,-487.2178438,-630.7998413,-438.1196516,628.2991676,301.2191734,172.9471696,227.9449681,-995.0695967,210.7206752
MA2+Logistic(w=0.7),-206.234238,190.9886702,515.8739629,115.9910004,-197.9227889,-432.0860555,-295.4041227,-365.2412616,616.6640948,-355.9517786
MA2+Sine(w=0.4),557.6968334,-40.06212968,-641.3173611,263.6010802,-535.1448349,1070.640174,906.1179982,971.9459744,-447.2340632,800.4601712
MA2+Sine(w=0.6),3.995747313,115.8006445,73.55616856,357.1135229,-562.9043395,514.7361338,609.6946304,450.3951659,716.1253935,218.5941201
MA2+Sine(w=0.8),-181.8355926,269.4151241,692.08535,25.1251237,-864.2042498,-974.5480985,-860.6658029,-788.018674,2164.141836,-641.3091952
