,(Intercept),H_Shannon,H_Renyi,H_Tsallis,H_Fisher,C_Shannon,C_Renyi,C_Tsallis,C_Fisher,Disequilibrium
AR(2),0.998713156,0.999912989,0.999337114,0.999141521,0.999837344,0.992924041,0.990934038,0.993241873,0.992008055,0.99110854
MA(2),0.997119362,0.982478741,0.967695675,0.98671554,0.991080679,0.977255597,0.979213685,0.979898848,0.763618924,0.98861611
Logistic,0.971313876,0.959929595,0.933808123,0.978653649,0.988367203,0.910232,0.937028669,0.932550308,0.946279072,0.911901159
Sine,0,0,0,0,0,0,0,0,0,0
ARMA+Sine(w=0.1),0,0,0,0,0,0,0,0,0,0
ARMA+Sine(w=0.2),0.022430515,0.052888453,6.09E-06,0.074753128,0.93741973,9.16E-08,0.013456034,4.43E-06,0.105303666,1.10E-09
ARMA+Sine(w=0.3),0.142728582,0.711168444,2.69E-06,0.866766489,0.88083521,0,0,0,0.036705488,0.000576986
AR2+Logistic(w=0.1),0.996717044,0.973676631,0.979486671,0.986866045,0.998093139,0.964399478,0.973063035,0.960539158,0.983780857,0.958011473
AR2+Sine(w=0.8),0,0,0,0,0,0,0,0,0,0
MA2+Logistic(w=0.2),0.017324638,1.62E-08,5.55E-15,4.40E-06,0.091951777,0,0,0,0,1.16E-10
MA2+Logistic(w=0.7),0.987992481,0.98119683,0.970938613,0.98714268,0.997475794,0.978498969,0.982357773,0.979669558,0.950521152,0.983478907
MA2+Sine(w=0.4),0,0,0,0,0,0,0,0,0,0
MA2+Sine(w=0.6),0.998731721,0.994389311,0.997418317,0.9714132,0.997228395,0.980240478,0.972037601,0.980927961,0.961516312,0.992374709
MA2+Sine(w=0.8),0.988383905,0.97304819,0.964515012,0.994824871,0.986974481,0.969052681,0.968295753,0.971490281,0.937400603,0.979908111
